Spill / Vessel,Location,Dates,Min Tonnes,Max Tonnes,Owner,Trading Name,Notes,Day Prior,Day After,1 Month,6 Months,1 Year,2 Years
Shell Bodo pipeline oil spill,Nigeria,2008-08-01 - 2008-08-01,"1,000","1,000",Royal Dutch Shell PLC Royal Dut,RDS-A,,34.857250213623054,34.044784545898445,32.95157623291016,32.95157623291016,27.96217536926269,32.04578399658203
Statfjord oil spill,"Norway, Norwegian Sea",2007-12-12 - 2007-12-12,"4,000","4,000",EQUINOR ASA,STOHF,Statoil rebranded to Equinor ASA in 2018 ,1.6422967910766602,1.6422967910766602,1.5871862173080444,2.1377420425415044,0.845948338508606,1.3419440984725952
Statfjord oil spill,"Norway, Norwegian Sea",2007-12-12 - 2007-12-12,"4,000","4,000",Exxon Mobil Corporation,XOM,same incident as above,59.39576721191406,61.00106430053711,59.40892028808594,59.115577697753906,53.687294006347656,49.99372100830078
Statfjord oil spill,"Norway, Norwegian Sea",2007-12-12 - 2007-12-12,"4,000","4,000",CENTRICA,CPYYY,same incident as above,11.073101997375488,11.19426727294922,10.08711051940918,9.800010681152344,7.210309982299805,8.894850730895996
Prudhoe Bay oil spill,"United States, Alaska North Slope, Alaska",2006-03-02 - 2006-03-02,653,689,BP p.l.c.,BP,subsidiary of BP accepted liability,31.36866950988769,31.354677200317386,32.536022186279304,32.536022186279304,32.536022186279304,32.48296356201172
Shell (Hurricane Katrina),"United States, Pilottown, Louisiana",2005-08-30 - 2005-08-30,"3,400","3,400",Royal Dutch Shell PLC Royal Dut,RDS-A,,28.040607452392575,28.85800552368164,29.38665580749512,27.54874610900879,27.54874610900879,27.54874610900879
Chevron (Hurricane Katrina),"United States, Empire, Louisiana",2005-08-30 - 2005-08-30,"3,200","3,200",Chevron Corporation,CVX,,34.378280639648445,33.516368865966804,33.516368865966804,33.516368865966804,33.516368865966804,33.516368865966804
Murphy Oil USA refinery spill (Hurricane Katrina),"United States, Meraux and Chalmette, Louisiana",2005-08-30 - 2005-08-30,"2,660","3,410",Murphy Oil Corporation,MUR,,29.800540924072266,27.10612297058105,27.10612297058105,27.10612297058105,27.10612297058105,27.10612297058105
Chevron (Hurricane Katrina),"United States, Port Fourchon, Louisiana",2005-08-30 - 2005-08-30,170,170,Chevron Corporation,CVX,,34.378280639648445,33.516368865966804,33.516368865966804,33.516368865966804,33.516368865966804,33.516368865966804
Shell Pipeline Oil (Hurricane Katrina),"United States, Nairn, Louisiana",2005-08-30 - 2005-08-30,44,44,Royal Dutch Shell PLC Royal Dut,RDS-A,,28.040607452392575,27.54874610900879,27.54874610900879,27.54874610900879,27.54874610900879,27.54874610900879
Chevron-Texaco tank collapse (Hurricane Ivan),"United States, Louisiana",2004-09-16 - 2004-09-17,423,423,Chevron Corporation,CVX,,28.589757919311523,33.516368865966804,29.637226104736328,29.637226104736328,29.637226104736328,37.5002326965332
MV Iron Baron (1985),"Hebe Reef, Tasmania",1995-07-10 - 1995-07-30,300,325,BHP Group Limited,BHP,,3.3844187259674072,3.3844187259674072,3.3844187259674072,4.026390075683594,4.026390075683594,4.026390075683594
"Port Bonython oil spill, Era","Australia, Spencer Gulf, South Australia",1992-08-30 - 1992-08-30,296,296,BP p.l.c.,BP,,1.9785501956939695,1.9785501956939695,1.9785501956939695,1.9785501956939695,1.9785501956939695,1.9785501956939695
Kirki,"Australia, Indian Ocean, off the coast of Western Australia",1991-07-21 - 1991-07-21,"17,280","17,280",BP p.l.c.,BP,,2.0478885173797607,2.0478885173797607,2.0478885173797607,2.0478885173797607,2.0478885173797607,2.0478885173797607
Arthur Kill pipeline,"United States, New Jersey, Sewaren",1990-01-01 - 1990-01-01,"1,840","1,840",Exxon Mobil Corporation,XOM,,1.5510551929473877,1.5510551929473877,1.5510551929473877,1.6440739631652832,1.9326192140579224,2.764778852462769
Exxon Valdez,"United States, Prince William Sound, Alaska",1989-03-24 - 1989-03-24,"37,000","104,000",Exxon Mobil Corporation,XOM,,1.1759405136108398,1.1759405136108398,1.1759405136108398,1.1759405136108398,1.4939113855361938,2.375783920288086
Ashland oil spill,"United States, Floreffe, Pennsylvania",1988-01-02 - 1988-01-02,"10,000","10,000",Ashland Global Holdings Inc.,ASH,,1.6450090408325195,1.634326457977295,1.634326457977295,1.634326457977295,2.128114461898804,2.708580017089844
Platform Charlie,"United States, Louisiana",1970-02-10 - 1970-02-10,unknown,unknown,Chevron Corporation,CVX,,0.05885408818721771,0.05708037316799164,0.05917659774422645,0.05835200846195221,0.05835200846195221,0.05835200846195221
