Spill / Vessel,Location,Dates,Min Tonnes,Max Tonnes,Owner,Trading Name,Notes,Day Prior,Day After,1 Day Change,1 Day % Change,1 Day Result,1 Month,1 Month Change,1 Month % Change,1 Month Result,6 Months,6 Months Change,6 Months % Change,6 Months Result,1 Year,1 Year Change,1 Year % Change,1 Year Result,2 Years,2 Years Change,2 Years % Change,2 Years Result
"Gannet Alpha platform, North Sea","United Kingdom, North Sea, Gannet Alpha platform",2011-08-10 - 2011-08-13,216,216,Royal Dutch Shell PLC Royal Dut,RDS-A,,37.69185638,38.70004272,1.00818634,2.674812113,L,37.62702179,-1.07302093,-2.772660841,L,43.42214584,5.79512405,15.40149545,W,43.89458084,0.472435,1.088004729,L,41.42393875,-2.47064209,-5.62858112,L
Yellowstone River,"United States, Billings, Montana, Yellowstone River",2011-07-01 - 2011-07-01,105,140,Exxon Mobil Corporation,XOM,,58.00261688,58.15942001,0.15680313,0.270338027,L,56.7339325,-1.42548751,-2.451000216,L,61.5410347,4.8071022,8.473063629,W,62.35530853,0.81427383,1.323139648,L,67.71614075,5.36083222,8.597234696,W
Bohai Bay oil spill,"China, Bohai Bay",2011-06-04 - 2011-06-19,204,204,ConocoPhillips,COP,,39.75732422,38.94999313,-0.80733109,-2.030647449,L,41.6576004,2.70760727,6.951496143,W,40.83086014,-0.82674026,-1.984608456,L,38.81468582,-2.01617432,-4.93786884,L,48.81314468,9.99845886,25.75947389,W
Little Buffalo oil spill,"Canada, Alberta",2011-04-29 - 2011-04-29,"3,800","3,800","Plains All American Pipeline, L",PAA,,17.05457115,16.84849739,-0.20607376,-1.2083198,L,16.44425583,-0.40424156,-2.39927366,L,17.50094223,1.0566864,6.425869379,W,22.62567329,5.12473106,29.28260086,W,32.95271683,10.32704354,45.64303306,W
Mumbai-Uran pipeline spill,"India, Mumbai, Arabian Sea",2011-01-21 - 2011-01-21,40,55,OIL & NATURAL GAS,ONGC.NS,,120.2646332,120.6831665,0.4185333,0.348010291,L,117.0730133,-3.6101532,-2.991430623,L,117.4763184,0.4033051,0.344490236,L,121.608078,4.1317596,3.517100005,L,155.9572754,34.3491974,28.24581883,W
Trans-Alaska Pipeline,"United States, Anchorage, Alaska",2010-05-25 - 2010-05-25,400,"1,200",TC Energy Corporation,TRP,,18.32475662,18.79346466,0.46870804,2.557785894,L,20.08664131,1.29317665,6.880991203,W,20.43086052,0.34421921,1.713672309,L,25.80562973,5.37476921,26.30711127,W,25.28645515,-0.51917458,-2.011865571,L
ExxonMobil,"Nigeria, Niger Delta",2010-05-01 - 2010-05-01,"3,246","95,500",Exxon Mobil Corporation,XOM,,46.8237915,46.87217712,0.04838562,0.103335545,L,41.21515274,-5.65702438,-12.06904549,L,46.58235931,5.36720657,13.02241097,W,61.63724518,15.05488587,32.31885652,W,63.16231537,1.52507019,2.47426728,L
Deepwater Horizon,"United States, Gulf of Mexico",2010-04-20 - 2010-07-15,"492,000","627,000",BP p.l.c.,BP,,33.94018555,33.98012924,0.03994369,0.117688484,L,25.02718163,-8.95294761,-26.34759729,L,23.67482567,-1.35235596,-5.403548749,L,26.50331306,2.82848739,11.9472364,W,25.14678192,-1.35653114,-5.118345533,L
Great Barrier Reef / MVÂ Shen Neng 1,Australia Great Keppel Island,2010-04-03 - 2010-04-03,3,4,SHN ENERGY GROUP,000027.SZ,,5.631030083,5.580562592,-0.050467491,-0.896239059,L,5.01704216,-0.563520432,-10.09791437,L,4.719198704,-0.297843456,-5.936634505,L,4.452830791,-0.266367913,-5.644346206,L,3.296224117,-1.156606674,-25.97463789,L
Shell Bodo pipeline oil spill,Nigeria,2008-08-01 - 2008-08-01,"1,000","1,000",Royal Dutch Shell PLC Royal Dut,RDS-A,,34.85725021,34.04478455,-0.81246566,-2.330836928,L,32.95157623,-1.09320832,-3.211088965,L,25.80572701,-7.14584922,-21.68591017,L,27.96217537,2.15644836,8.356472031,W,32.045784,4.08360863,14.60404484,W
Statfjord oil spill,"Norway, Norwegian Sea",2007-12-12 - 2007-12-12,"4,000","4,000",EQUINOR ASA,STOHF,Statoil rebranded to Equinor ASA in 2018 ,1.642296791,1.642296791,0,0,L,1.587186217,-0.055110574,-3.355701253,L,2.137742043,0.550555826,34.68753824,W,0.845948339,-1.291793704,-60.42795052,L,1.341944098,0.495995759,58.63192067,W
Statfjord oil spill,"Norway, Norwegian Sea",2007-12-12 - 2007-12-12,"4,000","4,000",Exxon Mobil Corporation,XOM,same incident as above,59.39576721,59.98787308,0.59210587,0.996882266,L,59.75763321,-0.23023987,-0.383810691,L,58.33240891,-1.4252243,-2.385007945,L,53.97580338,-4.35660553,-7.468584979,L,47.83829117,-6.13751221,-11.37085847,L
Statfjord oil spill,"Norway, Norwegian Sea",2007-12-12 - 2007-12-12,"4,000","4,000",CENTRICA,CPYYY,same incident as above,11.073102,11.26091003,0.18780803,1.696074235,L,9.996235847,-1.264674183,-11.23065702,L,9.52892971,-0.467306137,-4.674821044,L,7.357460022,-2.171469688,-22.78818035,L,8.827581406,1.470121384,19.98137101,W
Prudhoe Bay oil spill,"United States, Alaska North Slope, Alaska",2006-03-02 - 2006-03-02,653,689,BP p.l.c.,BP,subsidiary of BP accepted liability,31.36866951,30.92042732,-0.44824219,-1.428948684,L,32.53602219,1.61559487,5.225008223,W,32.17321396,-0.36280823,-1.11509707,L,28.42053413,-3.75267983,-11.66398805,L,32.48296356,4.06242943,14.29399395,W
Shell (Hurricane Katrina),"United States, Pilottown, Louisiana",2005-08-30 - 2005-08-30,"3,400","3,400",Royal Dutch Shell PLC Royal Dut,RDS-A,,28.04060745,29.65320015,1.6125927,5.75091928,L,29.16009903,-0.49310112,-1.66289344,L,27.54874611,-1.61135292,-5.52588288,L,31.74926949,4.20052338,15.24760279,W,37.00259018,5.25332069,16.54627264,W
Chevron (Hurricane Katrina),"United States, Empire, Louisiana",2005-08-30 - 2005-08-30,"3,200","3,200",Chevron Corporation,CVX,,34.37828064,36.22689438,1.84861374,5.377272236,W,37.39382172,1.16692734,3.221163061,L,33.51636887,-3.87745285,-10.36923393,L,38.42506409,4.90869522,14.64566534,W,53.89582062,15.47075653,40.26214893,W
Murphy Oil USA refinery spill (Hurricane Katrina),"United States, Meraux and Chalmette, Louisiana",2005-08-30 - 2005-08-30,"2,660","3,410",Murphy Oil Corporation,MUR,,29.80054092,31.72408485,1.92354393,6.454728239,W,28.63493347,-3.08915138,-9.737558686,L,27.10612297,-1.5288105,-5.338969974,L,28.40717506,1.30105209,4.799845745,L,35.88276672,7.47559166,26.31585733,W
Chevron (Hurricane Katrina),"United States, Port Fourchon, Louisiana",2005-08-30 - 2005-08-30,170,170,Chevron Corporation,CVX,,34.37828064,36.22689438,1.84861374,5.377272236,W,37.39382172,1.16692734,3.221163061,L,33.51636887,-3.87745285,-10.36923393,L,38.42506409,4.90869522,14.64566534,W,53.89582062,15.47075653,40.26214893,W
Shell Pipeline Oil (Hurricane Katrina),"United States, Nairn, Louisiana",2005-08-30 - 2005-08-30,44,44,Royal Dutch Shell PLC Royal Dut,RDS-A,,28.04060745,29.65320015,1.6125927,5.75091928,W,29.16009903,-0.49310112,-1.66289344,L,27.54874611,-1.61135292,-5.52588288,L,31.74926949,4.20052338,15.24760279,W,37.00259018,5.25332069,16.54627264,W
Chevron-Texaco tank collapse (Hurricane Ivan),"United States, Louisiana",2004-09-16 - 2004-09-17,423,423,Chevron Corporation,CVX,,28.58975792,29.14429092,0.554533,1.93962118,L,29.6372261,0.49293518,1.691361033,L,33.30892944,3.67170334,12.38882252,W,37.15121078,3.84228134,11.5352892,W,37.5002327,0.34902192,0.939463109,L
MV Iron Baron (1985),"Hebe Reef, Tasmania",1995-07-10 - 1995-07-30,300,325,BHP Group Limited,BHP,,3.384418726,3.547129631,0.162710905,4.80764699,L,3.766793728,0.219664097,6.192728201,W,4.026390076,0.259596348,6.891705964,W,4.048756599,0.022366523,0.555498165,L,4.322852135,0.274095536,6.769869448,W
"Port Bonython oil spill, Era","Australia, Spencer Gulf, South Australia",1992-08-30 - 1992-08-30,296,296,BP p.l.c.,BP,,1.978550196,1.96816504,-0.010385156,-0.524887163,L,1.937006712,-0.031158328,-1.583115611,L,2.216279268,0.279272556,14.41773817,W,2.795122147,0.578842879,26.11777709,W,4.175987244,1.380865097,49.40267453,W
Kirki,"Australia, Indian Ocean, off the coast of Western Australia",1991-07-21 - 1991-07-21,"17,280","17,280",BP p.l.c.,BP,,2.047888517,2.026444197,-0.02144432,-1.047142939,L,2.119177103,0.092732906,4.576139138,L,2.109479666,-0.009697437,-0.457603897,L,1.849692822,-0.259786844,-12.31520968,L,2.505511999,0.655819177,35.45557236,W
Arthur Kill pipeline,"United States, New Jersey, Sewaren",1990-01-01 - 1990-01-01,"1,840","1,840",Exxon Mobil Corporation,XOM,,1.551055193,1.535544872,-0.015510321,-0.999985111,L,1.457991719,-0.077553153,-5.050529907,L,1.644073963,0.186082244,12.76291501,W,1.932619214,0.288545251,17.5506247,W,2.764778852,0.832159638,43.05864456,W
Exxon Valdez,"United States, Prince William Sound, Alaska",1989-03-24 - 1989-03-24,"37,000","104,000",Exxon Mobil Corporation,XOM,,1.175940514,1.175940514,0,0,L,1.175940514,0,0,L,1.323315024,0.14737451,12.53248002,W,1.493911386,0.170596362,12.89159111,W,2.37578392,0.881872534,59.03111404,W
Ashland oil spill,"United States, Floreffe, Pennsylvania",1988-01-02 - 1988-01-02,"10,000","10,000",Ashland Global Holdings Inc.,ASH,,1.645009041,1.634326458,-0.010682583,-0.649393574,L,1.612962723,-0.021363735,-1.307188958,L,2.233886957,0.620924234,38.49588246,W,2.128114462,-0.105772495,-4.734908124,L,2.708580017,0.580465555,27.27604954,W
Platform Charlie,"United States, Louisiana",1970-02-10 - 1970-02-10,unknown,unknown,Chevron Corporation,CVX,,0.058854088,0.05579045,-0.003063638,-5.205480374,L,0.058370378,0.002579928,4.62431832,L,0.058352008,-1.837E-05,-0.031471443,L,0.072514012,0.014162004,24.26995143,W,0.084410936,0.011896924,16.4063795,W
