Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-09-11,62.0,62.0,62.0,62.0,50,0,0
2000-09-12,64.0,64.0,64.0,64.0,50,0,0
2000-09-13,63.5,63.5,63.5,63.5,0,0,0
2000-09-14,62.79999923706055,62.79999923706055,62.79999923706055,62.79999923706055,0,0,0
2000-09-15,65.0,65.0,65.0,65.0,0,0,0
2000-09-18,66.0,66.0,66.0,66.0,0,0,0
2000-09-19,65.30000305175781,65.30000305175781,65.30000305175781,65.30000305175781,0,0,0
2000-09-20,65.19999694824219,65.19999694824219,65.19999694824219,65.19999694824219,0,0,0
2000-09-21,64.5,64.5,61.5,61.5,300,0,0
2000-09-22,60.0,60.0,60.0,60.0,0,0,0
2000-09-25,56.599998474121094,56.599998474121094,56.599998474121094,56.599998474121094,0,0,0
2000-09-26,56.5,57.5,56.20000076293945,57.5,100,0,0
2000-09-27,55.29999923706055,55.29999923706055,55.29999923706055,55.29999923706055,0,0,0
2000-09-28,53.5,54.29999923706055,53.5,54.29999923706055,50,0,0
2000-09-29,59.0,59.0,59.0,59.0,0,0,0
2000-10-02,57.0,57.0,57.0,57.0,0,0,0
2000-10-03,57.0,57.0,57.0,57.0,0,0,0
2000-10-04,53.5,53.5,53.5,53.5,0,0,0
2000-10-05,51.20000076293945,51.20000076293945,51.20000076293945,51.20000076293945,100,0,0
2000-10-06,48.79999923706055,48.79999923706055,48.79999923706055,48.79999923706055,0,0,0
2000-10-09,48.0,48.0,48.0,48.0,0,0,0
2000-10-10,50.20000076293945,50.20000076293945,50.20000076293945,50.20000076293945,45,0,0
2000-10-11,49.5,49.5,49.5,49.5,100,0,0
2000-10-12,47.20000076293945,47.20000076293945,47.20000076293945,47.20000076293945,0,0,0
2000-10-13,44.20000076293945,44.20000076293945,44.20000076293945,44.20000076293945,0,0,0
2000-10-16,47.0,47.0,47.0,47.0,0,0,0
2000-10-17,46.5,46.5,46.5,46.5,0,0,0
2000-10-18,43.0,43.0,43.0,43.0,60,0,0
2000-10-19,44.5,44.5,26.799999237060547,27.5,1100,0,0
2000-10-20,29.5,30.5,28.899999618530273,30.399999618530273,2000,0,0
2000-10-23,30.799999237060547,30.799999237060547,30.799999237060547,30.799999237060547,50,0,0
2000-10-24,32.29999923706055,32.29999923706055,32.29999923706055,32.29999923706055,0,0,0
2000-10-25,32.5,32.5,32.5,32.5,75,0,0
2000-10-26,31.0,31.0,31.0,31.0,0,0,0
2000-10-27,32.20000076293945,32.20000076293945,32.20000076293945,32.20000076293945,0,0,0
2000-10-30,32.29999923706055,33.0,32.29999923706055,33.0,500,0,0
2000-10-31,33.0,33.0,33.0,33.0,0,0,0
2000-11-01,30.799999237060547,31.299999237060547,30.799999237060547,31.299999237060547,94,0,0
2000-11-02,30.5,32.29999923706055,30.5,32.29999923706055,700,0,0
2000-11-03,31.0,31.0,31.0,31.0,0,0,0
2000-11-06,34.5,34.5,34.20000076293945,34.20000076293945,500,0,0
2000-11-07,33.0,33.900001525878906,33.0,33.900001525878906,300,0,0
2000-11-08,34.400001525878906,34.400001525878906,33.599998474121094,33.599998474121094,50,0,0
2000-11-09,32.400001525878906,32.400001525878906,32.400001525878906,32.400001525878906,0,0,0
2000-11-10,32.400001525878906,32.400001525878906,32.400001525878906,32.400001525878906,0,0,0
2000-11-13,31.0,31.0,30.299999237060547,30.299999237060547,800,0,0
2000-11-14,32.599998474121094,35.0,32.599998474121094,35.0,95,0,0
2000-11-15,34.5,34.5,34.20000076293945,34.20000076293945,200,0,0
2000-11-16,34.5,34.5,34.5,34.5,60,0,0
2000-11-17,34.20000076293945,34.20000076293945,34.20000076293945,34.20000076293945,0,0,0
2000-11-20,34.79999923706055,34.79999923706055,34.79999923706055,34.79999923706055,0,0,0
2000-11-21,31.0,31.0,31.0,31.0,0,0,0
2000-11-22,33.5,33.5,33.0,33.0,200,0,0
2000-11-24,32.5,32.5,32.5,32.5,0,0,0
2000-11-27,36.0,36.5,36.0,36.20000076293945,300,0,0
2000-11-28,35.0,35.0,35.0,35.0,0,0,0
2000-11-29,33.0,33.0,33.0,33.0,0,0,0
2000-11-30,30.299999237060547,30.299999237060547,30.299999237060547,30.299999237060547,0,0,0
2000-12-01,30.0,30.0,30.0,30.0,0,0,0
2000-12-04,31.799999237060547,31.799999237060547,30.0,30.0,400,0,0
2000-12-05,30.200000762939453,30.200000762939453,30.200000762939453,30.200000762939453,0,0,0
2000-12-06,31.100000381469727,34.0,31.100000381469727,34.0,200,0,0
2000-12-07,30.799999237060547,30.799999237060547,30.799999237060547,30.799999237060547,0,0,0
2000-12-08,29.100000381469727,29.600000381469727,29.100000381469727,29.600000381469727,50,0,0
2000-12-11,31.299999237060547,31.299999237060547,31.299999237060547,31.299999237060547,0,0,0
2000-12-12,32.0,32.0,32.0,32.0,0,0,0
2000-12-13,24.0,25.200000762939453,24.0,24.700000762939453,800,0,0
2000-12-14,24.0,24.0,24.0,24.0,0,0,0
2000-12-15,24.0,24.0,24.0,24.0,0,0,0
2000-12-18,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,0,0,0
2000-12-19,24.299999237060547,24.299999237060547,24.299999237060547,24.299999237060547,0,0,0
2000-12-20,25.0,25.0,25.0,25.0,0,0,0
2000-12-21,22.5,22.5,22.5,22.5,0,0,0
2000-12-22,24.100000381469727,24.100000381469727,24.0,24.0,300,0,0
2000-12-27,25.0,25.0,25.0,25.0,0,0,0
2000-12-28,26.200000762939453,26.200000762939453,26.200000762939453,26.200000762939453,0,0,0
2000-12-29,26.799999237060547,26.799999237060547,26.799999237060547,26.799999237060547,0,0,0
2001-01-02,27.200000762939453,27.200000762939453,27.200000762939453,27.200000762939453,0,0,0
2001-01-03,25.0,25.0,25.0,25.0,0,0,0
2001-01-04,30.0,30.700000762939453,30.0,30.700000762939453,100,0,0
2001-01-05,28.299999237060547,28.299999237060547,28.299999237060547,28.299999237060547,0,0,0
2001-01-08,27.0,27.0,27.0,27.0,0,0,0
2001-01-09,27.299999237060547,27.299999237060547,27.200000762939453,27.200000762939453,80,0,0
2001-01-10,26.299999237060547,26.299999237060547,26.299999237060547,26.299999237060547,0,0,0
2001-01-11,26.600000381469727,26.600000381469727,26.600000381469727,26.600000381469727,100,0,0
2001-01-12,28.600000381469727,28.600000381469727,28.600000381469727,28.600000381469727,0,0,0
2001-01-16,29.0,29.0,29.0,29.0,0,0,0
2001-01-17,28.299999237060547,28.299999237060547,28.299999237060547,28.299999237060547,0,0,0
2001-01-18,30.0,30.0,29.799999237060547,29.799999237060547,62,0,0
2001-01-19,30.200000762939453,30.200000762939453,30.200000762939453,30.200000762939453,0,0,0
2001-01-22,31.0,31.0,31.0,31.0,0,0,0
2001-01-23,30.5,30.5,30.5,30.5,100,0,0
2001-01-25,30.100000381469727,30.100000381469727,27.5,27.5,300,0,0
2001-01-29,28.0,28.0,28.0,28.0,0,0,0
2001-01-30,28.200000762939453,28.200000762939453,28.200000762939453,28.200000762939453,0,0,0
2001-01-31,29.700000762939453,29.700000762939453,29.5,29.5,90,0,0
2001-02-01,29.200000762939453,29.5,29.200000762939453,29.5,500,0,0
2001-02-02,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0,0,0
2001-02-05,29.399999618530273,29.399999618530273,27.5,27.5,68,0,0
2001-02-06,28.600000381469727,30.399999618530273,28.600000381469727,30.299999237060547,400,0,0
2001-02-07,30.0,30.0,30.0,30.0,0,0,0
2001-02-08,29.5,29.5,29.5,29.5,0,0,0
2001-02-09,31.0,31.0,31.0,31.0,0,0,0
2001-02-12,30.0,30.0,30.0,30.0,0,0,0
2001-02-13,28.700000762939453,28.700000762939453,28.700000762939453,28.700000762939453,0,0,0
2001-02-14,28.799999237060547,29.399999618530273,28.799999237060547,29.399999618530273,60,0,0
2001-02-15,24.399999618530273,24.399999618530273,24.399999618530273,24.399999618530273,0,0,0
2001-02-16,29.5,29.5,29.5,29.5,0,0,0
2001-02-20,28.200000762939453,28.200000762939453,28.200000762939453,28.200000762939453,0,0,0
2001-02-21,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,200,0,0
2001-02-22,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0,0
2001-02-23,27.299999237060547,27.299999237060547,27.0,27.0,200,0,0
2001-02-26,27.0,27.0,27.0,27.0,0,0,0
2001-02-27,26.899999618530273,26.899999618530273,26.0,26.0,200,0,0
2001-02-28,25.799999237060547,25.799999237060547,25.799999237060547,25.799999237060547,0,0,0
2001-03-01,24.0,24.0,24.0,24.0,0,0,0
2001-03-02,22.0,22.0,21.5,21.5,100,0,0
2001-03-05,21.399999618530273,21.399999618530273,21.200000762939453,21.200000762939453,80,0,0
2001-03-06,21.5,21.5,21.5,21.5,0,0,0
2001-03-07,23.0,23.0,23.0,23.0,0,0,0
2001-03-08,23.0,23.0,23.0,23.0,0,0,0
2001-03-09,22.200000762939453,22.200000762939453,22.200000762939453,22.200000762939453,0,0,0
2001-03-12,20.600000381469727,20.600000381469727,20.600000381469727,20.600000381469727,0,0,0
2001-03-13,20.600000381469727,20.600000381469727,20.600000381469727,20.600000381469727,20,0,0
2001-03-15,20.600000381469727,20.600000381469727,20.600000381469727,20.600000381469727,0,0,0
2001-03-16,20.799999237060547,20.799999237060547,20.799999237060547,20.799999237060547,0,0,0
2001-03-19,20.700000762939453,20.700000762939453,20.700000762939453,20.700000762939453,0,0,0
2001-03-20,20.100000381469727,21.0,20.100000381469727,21.0,700,0,0
2001-03-21,20.5,20.5,19.799999237060547,19.799999237060547,100,0,0
2001-03-22,18.899999618530273,18.899999618530273,18.899999618530273,18.899999618530273,0,0,0
2001-03-23,18.5,18.5,18.5,18.5,600,0,0
2001-03-26,19.799999237060547,19.799999237060547,19.799999237060547,19.799999237060547,0,0,0
2001-03-27,19.700000762939453,20.100000381469727,19.700000762939453,20.100000381469727,100,0,0
2001-03-28,20.100000381469727,20.600000381469727,20.100000381469727,20.600000381469727,200,0,0
2001-03-29,19.5,19.5,19.5,19.5,0,0,0
2001-03-30,19.200000762939453,19.200000762939453,19.200000762939453,19.200000762939453,0,0,0
2001-04-02,19.399999618530273,19.399999618530273,19.399999618530273,19.399999618530273,70,0,0
2001-04-03,19.0,19.0,19.0,19.0,0,0,0
2001-04-04,18.200000762939453,18.200000762939453,17.799999237060547,17.799999237060547,70,0,0
2001-04-05,17.799999237060547,19.5,17.799999237060547,19.5,70,0,0
2001-04-06,20.0,20.0,20.0,20.0,0,0,0
2001-04-09,19.0,19.0,19.0,19.0,0,0,0
2001-04-10,18.899999618530273,18.899999618530273,18.899999618530273,18.899999618530273,0,0,0
2001-04-11,19.700000762939453,19.700000762939453,19.700000762939453,19.700000762939453,0,0,0
2001-04-12,19.799999237060547,19.799999237060547,19.799999237060547,19.799999237060547,0,0,0
2001-04-17,19.299999237060547,19.299999237060547,19.299999237060547,19.299999237060547,0,0,0
2001-04-18,18.5,19.700000762939453,18.5,19.700000762939453,57,0,0
2001-04-19,21.100000381469727,21.100000381469727,21.100000381469727,21.100000381469727,0,0,0
2001-04-20,22.899999618530273,22.899999618530273,22.899999618530273,22.899999618530273,0,0,0
2001-04-23,22.399999618530273,22.399999618530273,22.399999618530273,22.399999618530273,0,0,0
2001-04-24,21.200000762939453,21.600000381469727,21.200000762939453,21.600000381469727,65,0,0
2001-04-25,21.600000381469727,21.600000381469727,21.600000381469727,21.600000381469727,300,0,0
2001-04-26,22.5,22.5,22.5,22.5,0,0,0
2001-04-27,22.5,22.5,22.5,22.5,0,0,0
2001-04-30,23.899999618530273,24.399999618530273,23.899999618530273,23.899999618530273,0,0,0
2001-05-02,23.700000762939453,23.700000762939453,23.700000762939453,23.700000762939453,0,0,0
2001-05-03,25.399999618530273,25.399999618530273,25.399999618530273,25.399999618530273,400,0,0
2001-05-04,24.899999618530273,24.899999618530273,24.899999618530273,24.899999618530273,0,0,0
2001-05-08,25.0,25.0,24.799999237060547,24.799999237060547,400,0,0
2001-05-09,24.700000762939453,24.700000762939453,24.700000762939453,24.700000762939453,0,0,0
2001-05-10,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,100,0,0
2001-05-14,25.200000762939453,25.200000762939453,25.200000762939453,25.200000762939453,0,0,0
2001-05-15,25.700000762939453,25.700000762939453,25.700000762939453,25.700000762939453,0,0,0
2001-05-16,27.0,27.0,27.0,27.0,0,0,0
